zanzibar	zanzibar.n.01
united_arab_republic	egypt.n.01
alexandria	alexandria.n.02
cairo	cairo.n.02
nag_hammadi	nag_hammadi.n.01
luxor	luxor.n.01
saqqara	saqqara.n.01
suez	suez.n.01
india	india.n.01
sikkim	sikkim.n.01
new_delhi	new_delhi.n.01
delhi	delhi.n.01
bangalore	bangalore.n.01
jabalpur	jabalpur.n.01
calcutta	kolkata.n.01
mumbai	mumbai.n.01
bombay	mumbai.n.01
agra	agra.n.01
hyderabad	hyderabad.n.02
chennai	chennai.n.01
madras	chennai.n.01
lucknow	lucknow.n.01
mysore	mysore.n.01
salem	salem.n.03
tamil_nadu	tamil_nadu.n.01
madras	tamil_nadu.n.01
uttar_pradesh	uttar_pradesh.n.01
west_bengal	west_bengal.n.01
indonesia	indonesia.n.01
jakarta	jakarta.n.01
bandung	bandung.n.01
medan	medan.n.01
teheran	teheran.n.01
tehran	teheran.n.01
abadan	abadan.n.01
isfahan	isfahan.n.01
esfahan	isfahan.n.01
shiraz	shiraz.n.01
persepolis	persepolis.n.01
iraq	iraq.n.01
baghdad	baghdad.n.01
bagdad	baghdad.n.01
karbala	kerbala.n.01
kirkuk	kirkuk.n.01
mosul	mosul.n.01
philippi	philippi.n.01
edirne	edirne.n.01
babylon	babylon.n.01
babylonia	babylonia.n.01
assyria	assyria.n.01
assur	assur.n.01
japan	japan.n.02
tokyo	tokyo.n.01
yeddo	tokyo.n.01
edo	tokyo.n.01
nagano	nagano.n.01
nagoya	nagoya.n.01
kobe	kobe.n.01
kyoto	kyoto.n.01
hiroshima	hiroshima.n.01
fukuoka	fukuoka.n.01
nagasaki	nagasaki.n.01
toyota	toyota.n.01
jordan	jordan.n.02
amman	amman.n.01
jericho	jericho.n.01
kenya	kenya.n.01
nairobi	nairobi.n.01
kisumu	kisumu.n.01
mombasa	mombasa.n.01
nakuru	nakuru.n.01
kuwait	kuwait.n.02
kuwait	kuwait.n.01
kuwait_city	kuwait.n.01
france	france.n.01
paris	paris.n.01
avignon	avignon.n.01
bordeaux	bordeaux.n.01
brest	brest.n.01
calais	calais.n.01
chablis	chablis.n.01
chartres	chartres.n.01
cherbourg	cherbourg.n.01
dijon	dijon.n.01
dunkirk	dunkirk.n.02
grenoble	grenoble.n.01
le_havre	le_havre.n.01
lille	lille.n.01
lyon	lyon.n.01
lyons	lyon.n.01
marseille	marseille.n.01
marseilles	marseille.n.01
nancy	nancy.n.01
nantes	nantes.n.01
nice	nice.n.01
rheims	rheims.n.01
reims	rheims.n.01
tours	tours.n.01
valenciennes	valenciennes.n.01
versailles	versailles.n.01
vichy	vichy.n.01
vienne	vienne.n.01
gabon	gabon.n.01
libreville	libreville.n.01
banjul	banjul.n.01
ghana	ghana.n.01
gold_coast	ghana.n.01
accra	accra.n.01
kumasi	kumasi.n.01
tamale	tamale.n.01
guinea	guinea.n.03
conakry	conakry.n.01
portuguese_guinea	guinea-bissau.n.01
bissau	bissau.n.01
guyana	guyana.n.01
british_guiana	guyana.n.01
georgetown	georgetown.n.02
stabroek	georgetown.n.02
netherlands	netherlands.n.01
kingdom_of_the_netherlands	netherlands.n.01
nederland	netherlands.n.01
holland	netherlands.n.01
amsterdam	amsterdam.n.01
apeldoorn	apeldoorn.n.01
arnhem	arnhem.n.01
nijmegen	nijmegen.n.01
leiden	leiden.n.01
leyden	leiden.n.01
utrecht	utrecht.n.01
friesland	friesland.n.01
hungary	hungary.n.01
budapest	budapest.n.01
reykjavik	reykjavik.n.01
pyongyang	pyongyang.n.01
south_korea	south_korea.n.01
seoul	seoul.n.01
incheon	inchon.n.01
vientiane	vientiane.n.01
bayrut	bayrut.n.01
beirut	bayrut.n.01
sur	sur.n.01
tyre	sur.n.01
maseru	maseru.n.01
liberia	liberia.n.01
benghazi	benghazi.n.01
vaduz	vaduz.n.01
luxembourg	luxembourg.n.02
luxemburg	luxembourg.n.02
luxembourg	luxembourg-ville.n.01
luxemburg	luxembourg-ville.n.01
skopje	skopje.n.01
madagascar	madagascar.n.01
antananarivo	antananarivo.n.01
malawi	malawi.n.01
nyasaland	malawi.n.01
lilongwe	lilongwe.n.01
zomba	zomba.n.01
malaysia	malaysia.n.01
malaya	malaysia.n.01
kuala_lumpur	kuala_lumpur.n.01
maldives	maldives.n.01
male	male.n.03
mali	mali.n.01
bamako	bamako.n.01
timbuktu	timbuktu.n.01
malta	malta.n.01
valletta	valletta.n.01
valetta	valletta.n.01
mauritania	mauritania.n.01
nouakchott	nouakchott.n.01
port_louis	port_louis.n.01
monaco	monaco.n.01
ulaanbaatar	ulan_bator.n.01
casablanca	casablanca.n.01
fez	fez.n.01
fes	fez.n.01
marrakesh	marrakesh.n.01
marrakech	marrakesh.n.01
oujda	oujda.n.01
rabat	rabat.n.01
tangier	tangier.n.01
mozambique	mozambique.n.01
mocambique	mozambique.n.01
beira	beira.n.01
maputo	maputo.n.01
wellington	wellington.n.02
niger	niger.n.02
niamey	niamey.n.01
nigeria	nigeria.n.01
abuja	abuja.n.01
ibadan	ibadan.n.01
katsina	katsina.n.01
lagos	lagos.n.01
maiduguri	maiduguri.n.01
zaria	zaria.n.01
muscat	muscat.n.02
masqat	muscat.n.02
hyderabad	hyderabad.n.01
islamabad	islamabad.n.01
karachi	karachi.n.01
rawalpindi	rawalpindi.n.01
palau	palau.n.01
paraguay	paraguay.n.01
asuncion	asuncion.n.01
peru	peru.n.01
arequipa	arequipa.n.01
cuzco	cuzco.n.01
cusco	cuzco.n.01
lima	lima.n.01
philippines	philippines.n.01
manila	manila.n.02
poland	poland.n.01
warsaw	warszawa.n.01
bydgoszcz	bydgoszcz.n.01
bromberg	bydgoszcz.n.01
cracow	cracow.n.01
krakow	cracow.n.01
czestochowa	czestochowa.n.01
katowice	katowice.n.01
lublin	lublin.n.01
wroclaw	wroclaw.n.01
breslau	wroclaw.n.01
zabrze	zabrze.n.01
portugal	portugal.n.01
setubal	setubal.n.01
doha	doha.n.01
bida	doha.n.01
saint_kitts_and_nevis	saint_kitts_and_nevis.n.01
basseterre	basseterre.n.01
saint_lucia	saint_lucia.n.01
castries	castries.n.01
kingstown	kingstown.n.01
papeete	papeete.n.01
samoa	samoa.n.01
apia	apia.n.01
pago_pago	pago_pago.n.01
sao_tome	sao_tome.n.01
medina	medina.n.01
al_madinah	medina.n.01
dhahran	dhahran.n.01
tabuk	tabuk.n.01
taif	taif.n.01
senegal	senegal.n.01
seychelles	seychelles.n.01
victoria	victoria.n.05
sierra_leone	sierra_leone.n.01
freetown	freetown.n.01
singapore	singapore.n.02
singapore	singapore.n.01
honiara	honiara.n.01
somalia	somalia.n.01
mogadishu	mogadishu.n.01
hargeisa	hargeisa.n.01
durban	durban.n.01
free_state	free_state.n.03
orange_free_state	free_state.n.03
moscow	moscow.n.01
astrakhan	astrakhan.n.02
cherepovets	cherepovets.n.01
grozny	grozny.n.01
kaluga	kaluga.n.01
khabarovsk	khabarovsk.n.01
kursk	kursk.n.01
kazan	kazan.n.02
leningrad	st._petersburg.n.02
saint_petersburg	st._petersburg.n.02
murmansk	murmansk.n.01
nalchik	nalchik.n.01
novgorod	novgorod.n.01
perm	perm.n.01
rostov	rostov.n.01
saratov	saratov.n.01
smolensk	smolensk.n.01
ufa	ufa.n.01
volgograd	volgograd.n.01
novosibirsk	novosibirsk.n.01
chelyabinsk	chelyabinsk.n.01
omsk	omsk.n.01
vladivostok	vladivostok.n.01
belarus	belarus.n.01
minsk	minsk.n.01
pinsk	pinsk.n.01
estonia	estonia.n.01
tallinn	tallinn.n.01
tartu	tartu.n.01
latvia	latvia.n.01
riga	riga.n.01
liepaja	liepaja.n.01
daugavpils	daugavpils.n.01
lithuania	lithuania.n.01
klaipeda	klaipeda.n.01
vilnius	vilnius.n.01
vilna	vilnius.n.01
wilno	vilnius.n.01
kaunas	kaunas.n.01
moldova	moldova.n.01
moldavia	moldova.n.01
chisinau	kishinev.n.01
ukraine	ukraine.n.01
kyyiv	kyyiv.n.01
kiev	kyyiv.n.01
donetsk	donetsk.n.01
chernobyl	chernobyl.n.01
kharkiv	kharkov.n.01
sebastopol	sebastopol.n.01
sevastopol	sebastopol.n.01
armenia	armenia.n.01
yerevan	yerevan.n.01
azerbaijan	azerbaijan.n.01
baku	baku.n.01
georgia	georgia.n.03
tbilisi	tbilisi.n.01
kazakhstan	kazakhstan.n.01
almaty	almaty.n.01
kyrgyzstan	kyrgyzstan.n.01
bishkek	bishkek.n.01
frunze	bishkek.n.01
dushanbe	dushanbe.n.01
turkmenistan	turkmenistan.n.01
tashkent	tashkent.n.01
madrid	madrid.n.01
barcelona	barcelona.n.01
cartagena	cartagena.n.01
cordoba	cordoba.n.03
cordova	cordoba.n.03
granada	granada.n.01
jerez	jerez.n.01
jerez_de_la_frontera	jerez.n.01
leon	leon.n.02
logrono	logrono.n.01
oviedo	oviedo.n.01
san_sebastian	san_sebastian.n.01
sevilla	sevilla.n.01
seville	sevilla.n.01
toledo	toledo.n.02
zaragoza	zaragoza.n.01
saragossa	zaragoza.n.01
leon	leon.n.01
valencia	valencia.n.02
sudan	sudan.n.01
soudan	sudan.n.01
khartoum	khartoum.n.01
omdurman	omdurman.n.01
suriname	suriname.n.01
surinam	suriname.n.01
paramaribo	paramaribo.n.01
mbabane	mbabane.n.01
bern	bern.n.01
berne	bern.n.01
basel	basel.n.01
bale	basel.n.01
geneva	geneva.n.01
geneve	geneva.n.01
interlaken	interlaken.n.01
lausanne	lausanne.n.01
zurich	zurich.n.01
damascus	dimash.n.01
halab	halab.n.01
aleppo	halab.n.01
al_ladhiqiyah	al_ladhiqiyah.n.01
latakia	al_ladhiqiyah.n.01
tanzania	tanzania.n.01
dodoma	dodoma.n.01
mbeya	mbeya.n.01
mwanza	mwanza.n.01
tabora	tabora.n.01
tanga	tanga.n.02
bangkok	bangkok.n.01
krung_thep	bangkok.n.01
tonga	tonga.n.01
tunisia	tunisia.n.01
gafsa	gafsa.n.01
sousse	sousse.n.01
susa	sousse.n.01
susah	sousse.n.01
turkey	turkey.n.02
adana	adana.n.01
seyhan	adana.n.01
ankara	ankara.n.01
antalya	antalya.n.01
antioch	antioch.n.01
antakya	antioch.n.01
istanbul	istanbul.n.01
constantinople	istanbul.n.01
bursa	bursa.n.01
izmir	izmir.n.01
smyrna	izmir.n.01
sardis	sardis.n.01
uganda	uganda.n.01
entebbe	entebbe.n.01
jinja	jinja.n.01
kampala	kampala.n.01
gulu	gulu.n.01
abu_dhabi	abu_dhabi.n.01
alabama	alabama.n.01
al	alabama.n.01
montgomery	montgomery.n.03
birmingham	birmingham.n.01
decatur	decatur.n.03
gadsden	gadsden.n.01
huntsville	huntsville.n.01
mobile	mobile.n.02
selma	selma.n.01
tuscaloosa	tuscaloosa.n.01
tuskegee	tuskegee.n.01
alaska	alaska.n.01
juneau	juneau.n.01
anchorage	anchorage.n.03
nome	nome.n.01
sitka	sitka.n.01
skagway	skagway.n.01
arizona	arizona.n.01
flagstaff	flagstaff.n.01
mesa	mesa.n.02
nogales	nogales.n.01
prescott	prescott.n.01
tucson	tucson.n.01
yuma	yuma.n.02
arkansas	arkansas.n.01
fayetteville	fayetteville.n.03
fort_smith	fort_smith.n.01
hot_springs	hot_springs.n.01
jonesboro	jonesboro.n.01
little_rock	little_rock.n.01
pine_bluff	pine_bluff.n.01
texarkana	texarkana.n.02
california	california.n.01
anaheim	anaheim.n.01
bakersfield	bakersfield.n.01
barstow	barstow.n.01
berkeley	berkeley.n.02
beverly_hills	beverly_hills.n.01
chula_vista	chula_vista.n.01
eureka	eureka.n.02
fresno	fresno.n.01
long_beach	long_beach.n.01
los_angeles	los_angeles.n.01
monterey	monterey.n.01
oakland	oakland.n.01
palo_alto	palo_alto.n.01
pasadena	pasadena.n.01
redding	redding.n.01
riverside	riverside.n.02
sacramento	sacramento.n.01
san_bernardino	san_bernardino.n.01
san_francisco	san_francisco.n.01
san_jose	san_jose.n.01
san_mateo	san_mateo.n.01
san_pablo	san_pablo.n.01
santa_ana	santa_ana.n.03
santa_barbara	santa_barbara.n.01
santa_clara	santa_clara.n.01
santa_cruz	santa_cruz.n.01
colorado	colorado.n.01
boulder	boulder.n.02
colorado_springs	colorado_springs.n.01
denver	denver.n.01
pueblo	pueblo.n.02
bridgeport	bridgeport.n.01
farmington	farmington.n.02
hartford	hartford.n.01
new_haven	new_haven.n.01
new_london	new_london.n.01
waterbury	waterbury.n.01
dover	dover.n.01
wilmington	wilmington.n.02
district_of_columbia	district_of_columbia.n.01
washington	washington.n.01
florida	florida.n.01
daytona_beach	daytona_beach.n.01
fort_lauderdale	fort_lauderdale.n.01
fort_myers	fort_myers.n.01
gainesville	gainesville.n.01
melbourne	melbourne.n.01
miami_beach	miami_beach.n.01
orlando	orlando.n.01
palm_beach	palm_beach.n.01
pensacola	pensacola.n.01
sarasota	sarasota.n.01
saint_petersburg	st._petersburg.n.01
tallahassee	tallahassee.n.01
west_palm_beach	west_palm_beach.n.01
georgia	georgia.n.01
albany	albany.n.02
atlanta	atlanta.n.01
athens	athens.n.03
augusta	augusta.n.02
brunswick	brunswick.n.02
columbus	columbus.n.04
macon	macon.n.01
oxford	oxford.n.02
savannah	savannah.n.01
valdosta	valdosta.n.01
vidalia	vidalia.n.01
hawaii	hawaii.n.01
hilo	hilo.n.01
honolulu	honolulu.n.01
idaho	idaho.n.01
boise	boise.n.01
idaho_falls	idaho_falls.n.01
lewiston	lewiston.n.02
nampa	nampa.n.01
pocatello	pocatello.n.01
carbondale	carbondale.n.01
champaign	champaign.n.02
decatur	decatur.n.02
east_saint_louis	east_saint_louis.n.01
moline	moline.n.01
peoria	peoria.n.01
rockford	rockford.n.01
rock_island	rock_island.n.01
springfield	springfield.n.01
urbana	urbana.n.01
indiana	indiana.n.01
bloomington	bloomington.n.01
evansville	evansville.n.01
fort_wayne	fort_wayne.n.01
gary	gary.n.01
indianapolis	indianapolis.n.01
lafayette	lafayette.n.03
muncie	muncie.n.01
south_bend	south_bend.n.01
iowa	iowa.n.02
council_bluffs	council_bluffs.n.01
davenport	davenport.n.01
cedar_rapids	cedar_rapids.n.01
clinton	clinton.n.04
des_moines	des_moines.n.01
dubuque	dubuque.n.01
mason_city	mason_city.n.01
ottumwa	ottumwa.n.01
sioux_city	sioux_city.n.01
kansas	kansas.n.01
dodge_city	dodge_city.n.01
abilene	abilene.n.02
hays	hays.n.03
kansas_city	kansas_city.n.02
lawrence	lawrence.n.07
salina	salina.n.01
topeka	topeka.n.01
wichita	wichita.n.02
kentucky	kentucky.n.01
bowling_green	bowling_green.n.01
frankfort	frankfort.n.01
lexington	lexington.n.02
louisville	louisville.n.01
owensboro	owensboro.n.01
paducah	paducah.n.01
louisiana	louisiana.n.01
alexandria	alexandria.n.01
baton_rouge	baton_rouge.n.01
lafayette	lafayette.n.02
monroe	monroe.n.04
morgan_city	morgan_city.n.01
shreveport	shreveport.n.01
maine	maine.n.01
augusta	augusta.n.01
bangor	bangor.n.01
brunswick	brunswick.n.01
lewiston	lewiston.n.01
orono	orono.n.01
aberdeen	aberdeen.n.03
annapolis	annapolis.n.01
baltimore	baltimore.n.01
frederick	frederick.n.01
hagerstown	hagerstown.n.01
massachusetts	massachusetts.n.01
old_colony	massachusetts.n.01
boston	boston.n.01
beantown	boston.n.01
cambridge	cambridge.n.02
concord	concord.n.04
gloucester	gloucester.n.01
lexington	lexington.n.01
medford	medford.n.02
pittsfield	pittsfield.n.01
plymouth	plymouth.n.01
salem	salem.n.02
williamstown	williamstown.n.01
alpena	alpena.n.01
ann_arbor	ann_arbor.n.01
detroit	detroit.n.01
motor_city	detroit.n.01
flint	flint.n.03
grand_rapids	grand_rapids.n.01
houghton	houghton.n.02
jackson	jackson.n.11
kalamazoo	kalamazoo.n.01
lansing	lansing.n.01
monroe	monroe.n.03
saginaw	saginaw.n.01
traverse_city	traverse_city.n.01
bemidji	bemidji.n.01
duluth	duluth.n.01
hibbing	hibbing.n.01
mankato	mankato.n.01
rochester	rochester.n.02
saint_cloud	saint_cloud.n.01
saint_paul	saint_paul.n.02
virginia	virginia.n.03
mississippi	mississippi.n.02
biloxi	biloxi.n.02
columbus	columbus.n.03
greenville	greenville.n.03
hattiesburg	hattiesburg.n.01
jackson	jackson.n.10
meridian	meridian.n.02
natchez	natchez.n.01
tupelo	tupelo.n.03
vicksburg	vicksburg.n.01
cape_girardeau	cape_girardeau.n.01
columbia	columbia.n.04
hannibal	hannibal.n.02
independence	independence.n.03
jefferson_city	jefferson_city.n.01
kansas_city	kansas_city.n.01
poplar_bluff	poplar_bluff.n.01
saint_joseph	saint_joseph.n.02
saint_louis	saint_louis.n.02
sedalia	sedalia.n.01
springfield	springfield.n.02
montana	montana.n.01
bozeman	bozeman.n.01
billings	billings.n.01
butte	butte.n.02
great_falls	great_falls.n.01
helena	helena.n.01
missoula	missoula.n.01
grand_island	grand_island.n.01
lincoln	lincoln.n.02
north_platte	north_platte.n.02
nevada	nevada.n.01
carson_city	carson_city.n.01
reno	reno.n.01
new_hampshire	new_hampshire.n.01
concord	concord.n.01
portsmouth	portsmouth.n.02
trenton	trenton.n.01
bayonne	bayonne.n.01
camden	camden.n.01
jersey_city	jersey_city.n.01
morristown	morristown.n.01
newark	newark.n.01
new_brunswick	new_brunswick.n.01
paterson	paterson.n.02
princeton	princeton.n.01
new_mexico	new_mexico.n.01
albuquerque	albuquerque.n.01
carlsbad	carlsbad.n.01
farmington	farmington.n.01
gallup	gallup.n.01
las_cruces	las_cruces.n.01
los_alamos	los_alamos.n.01
roswell	roswell.n.01
santa_fe	santa_fe.n.01
silver_city	silver_city.n.01
albany	albany.n.01
cooperstown	cooperstown.n.01
new_york	new_york.n.01
brooklyn	brooklyn.n.01
ithaca	ithaca.n.01
queens	queens.n.01
staten_island	staten_island.n.01
binghamton	binghamton.n.01
niagara_falls	niagara_falls.n.02
rochester	rochester.n.01
schenectady	schenectady.n.01
syracuse	syracuse.n.01
utica	utica.n.01
saratoga_springs	saratoga_springs.n.01
watertown	watertown.n.02
north_carolina	north_carolina.n.01
raleigh	raleigh.n.02
asheville	asheville.n.01
chapel_hill	chapel_hill.n.01
charlotte	charlotte.n.01
queen_city	charlotte.n.01
durham	durham.n.01
fayetteville	fayetteville.n.02
greensboro	greensboro.n.01
greenville	greenville.n.02
wilmington	wilmington.n.01
winston-salem	winston-salem.n.01
bismarck	bismarck.n.02
akron	akron.n.01
athens	athens.n.02
cleveland	cleveland.n.01
cincinnati	cincinnati.n.01
columbus	columbus.n.01
dayton	dayton.n.01
mansfield	mansfield.n.02
toledo	toledo.n.01
youngstown	youngstown.n.01
oklahoma	oklahoma.n.01
bartlesville	bartlesville.n.01
enid	enid.n.01
lawton	lawton.n.01
mcalester	mcalester.n.01
muskogee	muskogee.n.02
oklahoma_city	oklahoma_city.n.01
tulsa	tulsa.n.01
oregon	oregon.n.01
bend	bend.n.05
eugene	eugene.n.02
klamath_falls	klamath_falls.n.01
medford	medford.n.01
salem	salem.n.01
allentown	allentown.n.01
altoona	altoona.n.01
bethlehem	bethlehem.n.01
erie	erie.n.03
gettysburg	gettysburg.n.01
harrisburg	harrisburg.n.01
chester	chester.n.01
philadelphia	philadelphia.n.01
pittsburgh	pittsburgh.n.01
scranton	scranton.n.01
rhode_island	rhode_island.n.01
providence	providence.n.01
south_carolina	south_carolina.n.02
columbia	columbia.n.03
charleston	charleston.n.02
florence	florence.n.02
greenville	greenville.n.01
south_dakota	south_dakota.n.01
aberdeen	aberdeen.n.02
pierre	pierre.n.01
rapid_city	rapid_city.n.01
tennessee	tennessee.n.01
chattanooga	chattanooga.n.01
columbia	columbia.n.02
jackson	jackson.n.09
johnson_city	johnson_city.n.01
knoxville	knoxville.n.01
nashville	nashville.n.01
abilene	abilene.n.01
amarillo	amarillo.n.01
arlington	arlington.n.01
austin	austin.n.01
beaumont	beaumont.n.03
brownsville	brownsville.n.01
bryan	bryan.n.02
corpus_christi	corpus_christi.n.02
del_rio	del_rio.n.01
el_paso	el_paso.n.01
fort_worth	fort_worth.n.01
galveston	galveston.n.01
garland	garland.n.02
houston	houston.n.01
laredo	laredo.n.01
lubbock	lubbock.n.01
lufkin	lufkin.n.01
mcallen	mcallen.n.01
midland	midland.n.01
odessa	odessa.n.02
paris	paris.n.04
plano	plano.n.01
san_angelo	san_angelo.n.01
san_antonio	san_antonio.n.01
sherman	sherman.n.04
texarkana	texarkana.n.01
tyler	tyler.n.02
victoria	victoria.n.04
waco	waco.n.01
wichita_falls	wichita_falls.n.01
utah	utah.n.01
ogden	ogden.n.02
provo	provo.n.01
salt_lake_city	salt_lake_city.n.01
vermont	vermont.n.01
montpelier	montpelier.n.01
bennington	bennington.n.01
brattleboro	brattleboro.n.01
burlington	burlington.n.01
rutland	rutland.n.01
virginia	virginia.n.01
old_dominion	virginia.n.01
va	virginia.n.01
richmond	richmond.n.01
blacksburg	blacksburg.n.01
newport_news	newport_news.n.01
lynchburg	lynchburg.n.01
portsmouth	portsmouth.n.01
roanoke	roanoke.n.01
virginia_beach	virginia_beach.n.01
fredericksburg	fredericksburg.n.01
petersburg	petersburg.n.01
spotsylvania	spotsylvania.n.01
washington	washington.n.02
wa	washington.n.02
aberdeen	aberdeen.n.01
bellingham	bellingham.n.01
kennewick	kennewick.n.01
olympia	olympia.n.01
seattle	seattle.n.01
spokane	spokane.n.01
tacoma	tacoma.n.01
vancouver	vancouver.n.02
walla_walla	walla_walla.n.01
yakima	yakima.n.01
west_virginia	west_virginia.n.01
beckley	beckley.n.01
charleston	charleston.n.01
clarksburg	clarksburg.n.01
fayetteville	fayetteville.n.01
huntington	huntington.n.04
harpers_ferry	harpers_ferry.n.01
morgantown	morgantown.n.01
parkersburg	parkersburg.n.01
wheeling	wheeling.n.01
appleton	appleton.n.02
eau_claire	eau_claire.n.01
green_bay	green_bay.n.01
la_crosse	la_crosse.n.01
madison	madison.n.02
racine	racine.n.02
superior	superior.n.05
watertown	watertown.n.01
wausau	wausau.n.01
wyoming	wyoming.n.01
casper	casper.n.01
cheyenne	cheyenne.n.01
jackson	jackson.n.08
lander	lander.n.01
laramie	laramie.n.01
rock_springs	rock_springs.n.01
montevideo	montevideo.n.01
port_vila	port_vila.n.01
vila	port_vila.n.01
vatican_city	vatican_city.n.01
venezuela	venezuela.n.01
caracas	caracas.n.01
ciudad_bolivar	ciudad_bolivar.n.01
cumana	cumana.n.01
maracaibo	maracaibo.n.01
maracay	maracay.n.01
valencia	valencia.n.01
hanoi	hanoi.n.01
ho_chi_minh_city	ho_chi_minh_city.n.01
haiphong	haiphong.n.01
yemen	yemen.n.01
sana	sana.n.01
sanaa	sana.n.01
zambia	zambia.n.01
northern_rhodesia	zambia.n.01
lusaka	lusaka.n.01
zimbabwe	zimbabwe.n.01
rhodesia	zimbabwe.n.01
southern_rhodesia	zimbabwe.n.01
harare	harare.n.01
salisbury	harare.n.01
isle_of_wight	wight.n.02
egbert	egbert.n.01
hershey	hershey.n.01
