aah	00856756.v
catabolize	00235660.v
catalog	01612455.v
catalog	00644626.v
catalogue	00644626.v
catalogue	01612455.v
catalyse	00264158.v
catalyze	00264158.v
catapult	01502653.v
catapult	01501435.v
catcall	01050351.v
catch	00717454.v
catch	02098413.v
catch	01388907.v
catch	01426699.v
catch	01204101.v
catch	01316014.v
catch	01493062.v
catch	01467290.v
catch	02000150.v
catch	02227225.v
catch	01144108.v
catch	00537623.v
catch	02486736.v
catch	02169241.v
catch	02131231.v
catch	01316210.v
catch	00592255.v
catch	00582712.v
catch	00087150.v
catch	02735453.v
catch	02169471.v
catch	02090100.v
catch	01789337.v
catch	01722806.v
catch	01467610.v
catch	01368177.v
catch	01071737.v
catch	00717715.v
catch	00455428.v
catch_a_glimpse	02110248.v
catch_a_wink	00015518.v
catch_cold	00087282.v
catch_fire	02734941.v
catch_it	02476405.v
catch_on	00583174.v
catch_on	00537894.v
catch_one's_breath	00770694.v
catch_out	00723247.v
catch_some_z's	00014762.v
catch_up	01980432.v
catch_up	00591173.v
catch_up_with	01144108.v
catch_up_with	02496602.v
catechise	00778832.v
catechise	00778676.v
catechize	00778676.v
catechize	00778832.v
categorise	00649234.v
categorize	00649234.v
catenate	01453565.v
catenulate	01453565.v
cater	01171470.v
cater	01169605.v
caterwaul	00905302.v
cathect	00023313.v
catheterise	00185742.v
catheterize	00185742.v
catholicise	00382516.v
catholicize	00382516.v
catnap	00015518.v
caucus	02406087.v
caulk	01342327.v
cause	01630835.v
cause	00761805.v
cause_to_be_perceived	02104273.v
cause_to_sleep	00019293.v
causeway	02313665.v
causeway	01256129.v
cauterise	00369737.v
cauterise	00269735.v
cauterize	00369737.v
cauterize	00269735.v
caution	00862157.v
cave	01271443.v
cave	00641891.v
cave_in	01970728.v
cavern	01271298.v
cavern_out	01271298.v
cavil	00800163.v
cavort	01866113.v
caw	01049507.v
cease	02655013.v
cease	02584658.v
cede	02294666.v
cede	02214143.v
celebrate	02553734.v
celebrate	02466998.v
celebrate	02375631.v
cell_phone	00781101.v
cement	01292481.v
cement	01354824.v
cement	01354551.v
cense	02107055.v
censor	02469594.v
censor	00674831.v
censure	00814943.v
census	00939138.v
center	02650701.v
center	00713938.v
center	01835288.v
center_on	02650701.v
center_on	02699118.v
center_punch	01431188.v
centralise	00400960.v
centralize	00400960.v
centre	01835288.v
centre	00713938.v
centrifugate	02028957.v
centrifuge	02028957.v
cere	01272303.v
cerebrate	00621052.v
certificate	02240950.v
certificate	00795494.v
certify	00812250.v
certify	02327436.v
certify	02421003.v
certify	02424132.v
certify	00813536.v
cha-cha	01879639.v
chafe	02100117.v
chafe	01771584.v
chafe	01770806.v
chafe	01242212.v
chafe	01239312.v
chafe	00369368.v
chaff	00846317.v
chaffer	02238358.v
chaffer	01028178.v
chagrin	01782644.v
chain	01452207.v
chain	01277050.v
chain-smoke	01187365.v
chain_up	01274851.v
chair	02416361.v
chair	00805069.v
chairman	02416361.v
chalk	01675061.v
chalk_out	01682491.v
chalk_up	02299262.v
chalk_up	00940272.v
challenge	00860106.v
challenge	00859571.v
challenge	00799835.v
challenge	00799654.v
chamber	02630739.v
chamfer	01570706.v
chamfer	01266145.v
champ	01163893.v
champ	01163734.v
champion	01138182.v
chance	02569523.v
chance	02520094.v
chance	02227391.v
chance_on	02265142.v
chance_upon	02265142.v
chandelle	01951808.v
change	00108238.v
change	00123976.v
change	00120850.v
change	00544706.v
change	00166636.v
change	00158439.v
change	02236261.v
change	02069566.v
change	00545799.v
change	00160465.v
change_by_reversal	00136112.v
change_course	01928735.v
change_form	00138553.v
change_hands	02201252.v
change_integrity	00137709.v
change_intensity	02171179.v
change_magnitude	00166829.v
change_over	00376001.v
change_over	00376855.v
change_owners	02201252.v
change_posture	01965454.v
change_shape	00138553.v
change_state	00143724.v
change_surface	00352282.v
change_taste	02177005.v
channel	02061379.v
channel	01915881.v
channel	01422909.v
channel-surf	00546200.v
channelise	01913852.v
channelise	01741592.v
channelise	01422909.v
channelise	01356870.v
channelize	01913852.v
channelize	01741592.v
channelize	01422909.v
channelize	01356870.v
chant	01039201.v
chant	01056217.v
chap	00333635.v
chaperon	02008460.v
chaperone	02008460.v
char	02746468.v
char	00375282.v
character	01310647.v
characterise	02671919.v
characterise	00946993.v
characterize	00946993.v
characterize	02671919.v
charcoal	01678018.v
charge	01110955.v
charge	00834507.v
charge	02298391.v
charge	02036948.v
charge	02452043.v
charge	00860893.v
charge	00834999.v
charge	01476079.v
charge	02299063.v
charge	02326191.v
charge	02325260.v
charge	02295306.v
charge	01967107.v
charge	01745770.v
charge	01670836.v
charge	01477435.v
charge	01141233.v
charge	00742067.v
charge	00741880.v
charge	00741707.v
charge	00719661.v
charge	00692421.v
charge	00512988.v
charge	00512720.v
charge	00492898.v
charge_up	01745770.v
chariot	01931754.v
chariot	01888768.v
charleston	01879430.v
charm	01789337.v
charm	02561699.v
charm	01119691.v
charm	00767857.v
chart	00702705.v
chart	00696979.v
chart	01739708.v
charter	02436759.v
charter	02424031.v
charter	02188097.v
chase	01983615.v
chase	02510846.v
chase	01570594.v
chase	01266145.v
chase_after	02510846.v
chase_after	01983615.v
chase_away	01984477.v
chasse	01877360.v
chasten	00815558.v
chasten	00199955.v
chasten	00199466.v
chastise	00815558.v
chat	01028178.v
chat_up	01027422.v
chat_up	00759156.v
chatter	02165934.v
chatter	01540843.v
chatter	01028178.v
chatter	01026316.v
chatter	01026815.v
chauffeur	02039730.v
chaw	01190290.v
cheapen	00204726.v
cheat	02548632.v
cheat	01093680.v
cheat	02549865.v
cheat	02551749.v
cheat_on	02551749.v
check	00653780.v
check	02509062.v
check	00654545.v
check	02486168.v
check	01843990.v
check	00654138.v
check	00435672.v
check	02632960.v
check	02631896.v
check	02533324.v
check	02529407.v
check	02325528.v
check	02325070.v
check	01844354.v
check	01844209.v
check	01677858.v
check	01128956.v
check	01120709.v
check	01103909.v
check	01054441.v
check	00911004.v
check	00655290.v
check	00350663.v
check	00332746.v
check	00332467.v
check_in	00956622.v
check_into	00653780.v
check_off	00654138.v
check_out	00653780.v
check_out	00956962.v
check_out	02632960.v
check_out	02353910.v
check_out	02341310.v
check_out	02289431.v
check_out	00800563.v
check_over	00653780.v
check_up_on	00653780.v
checker	01677858.v
checker	00432829.v
checkmate	01103620.v
checkrow	01516536.v
cheek	00953740.v
cheep	01041765.v
cheer	01800794.v
cheer	00849568.v
cheer	00850304.v
cheer	00850132.v
cheer	00849781.v
cheer_up	00850304.v
cheer_up	00850132.v
cheerlead	00849437.v
cheese	02654890.v
cheese	01510163.v
chelate	02596586.v
chemisorb	01586124.v
cheque	02289431.v
chequer	01677858.v
chequer	00432829.v
cherish	01759210.v
chevvy	01772365.v
chevy	01772365.v
chew	01189839.v
chew_out	00815954.v
chew_over	00622941.v
chew_the_fat	01028178.v
chew_up	00815954.v
chicane	01093680.v
chicane	00800163.v
chicken-fight	01112266.v
chicken_out	02358039.v
chickenfight	01112266.v
chide	00815954.v
child-proof	00163635.v
childproof	00163635.v
chill	01801828.v
chill	00366383.v
chill	00365835.v
chill_out	01747071.v
chime	02162397.v
chime_in	00771525.v
chin	01957070.v
chin_up	01957070.v
chine	01311458.v
chink	02166579.v
chink	01411274.v
chink	00332746.v
chip	01248095.v
chip	01247409.v
chip	01584623.v
chip	01248695.v
chip	01247862.v
chip_at	01245022.v
chip_away	00177623.v
chip_away_at	00177623.v
chip_in	02286967.v
chip_off	01248095.v
chirk	01038604.v
chirk_up	00850132.v
chiromance	02088446.v
chirp	01041765.v
chirp	01715417.v
chirr	01042112.v
chirrup	01041765.v
chisel	02549865.v
chisel	02548632.v
chisel	01247732.v
chisel_in	00771525.v
chitchat	01028178.v
chitter	01043064.v
chivvy	01772365.v
chivy	01772365.v
chlorinate	00183876.v
chlorinate	00088764.v
chloroform	00021759.v
chock	01330430.v
chock	01207076.v
chock_up	01511457.v
choir	01715553.v
choke	00002724.v
choke	01557310.v
choke	01557492.v
choke	00077133.v
choke	00076881.v
choke	02505449.v
choke	02400404.v
choke	01465744.v
choke	01463339.v
choke	00386941.v
choke	00386759.v
choke	00354455.v
choke	00170373.v
choke	00076789.v
choke_back	00387155.v
choke_down	00387155.v
choke_off	00387155.v
choke_off	01465744.v
choke_up	01466474.v
chomp	01163734.v
chondrify	00494394.v
choose	00666555.v
choose	00671356.v
choose	00671933.v
choose_up	02424981.v
chop	01246495.v
chop	01853882.v
chop	01403270.v
chop	01245577.v
chop	01113771.v
chop_down	01245911.v
chop_off	01287673.v
chop_up	01246495.v
chord	01712119.v
chord	00477126.v
choreograph	01693162.v
choreograph	00702317.v
chortle	00031154.v
chorus	00977024.v
chorus	01715553.v
chouse	01093680.v
christen	01017954.v
christianise	00381815.v
christianize	00382035.v
christianize	00381815.v
christmas	02684050.v
chrome	01383738.v
chrome	00512001.v
chromium-plate	01383738.v
chronicle	00991208.v
chronologise	00274013.v
chronologize	00274013.v
chuck	01501612.v
chuck	02206649.v
chuck	01232075.v
chuck	00075583.v
chuck_out	02201611.v
chuck_out	01455785.v
chuck_up_the_sponge	01072327.v
chuckle	00031154.v
chuff	00006840.v
chug	02159427.v
chum_up	02564133.v
chunk	01373713.v
chunk	00648990.v
church	02060597.v
churn	01406187.v
churn	01867827.v
churn_out	01698958.v
churn_out	01610655.v
churn_up	01791206.v
churr	01042003.v
chute	01950186.v
cicatrise	01538653.v
cicatrize	01538653.v
cinch	01291387.v
cinch	00655756.v
cinch	00628356.v
cinematise	01697143.v
cinematize	01697143.v
cipher	00984166.v
cipher	00629839.v
circle	01893419.v
circle	02025972.v
circle	02682349.v
circle	01509875.v
circle_around	02063792.v
circle_round	02063792.v
circuit	02063964.v
circularise	02430750.v
circularise	02025359.v
circularise	00958705.v
circularize	02430750.v
circularize	02430649.v
circularize	02025359.v
circularize	00958705.v
circularize	00568158.v
circulate	00960182.v
circulate	00958705.v
circulate	02024886.v
circulate	02024100.v
circulate	02025972.v
circulate	02024539.v
circulate	02023933.v
circulate	00266626.v
circumambulate	01893312.v
circumcise	01263055.v
circumcise	01262837.v
circumfuse	02064833.v
circumnavigate	01893606.v
circumscribe	01570207.v
circumscribe	00232312.v
circumscribe	01570369.v
circumstantiate	01002710.v
circumvallate	01120294.v
circumvent	01116611.v
circumvent	01093926.v
circumvent	00801146.v
circumvolute	02714044.v
circumvolve	02027484.v
cite	01014090.v
cite	01012971.v
cite	01690102.v
cite	01013159.v
cite	01013474.v
cite	01005783.v
cite	00782301.v
citify	00494524.v
citrate	00134277.v
civilise	02365181.v
civilise	00406982.v
civilize	02365181.v
civilize	00406982.v
clabber	00452841.v
clack	02152349.v
clack	01044290.v
clack	01026316.v
claim	00747852.v
claim	02253821.v
claim	01008270.v
claim	00749848.v
claim	00747590.v
clam	01371740.v
clam_up	01030525.v
clamber	01903852.v
clamor	00765975.v
clamor	00905709.v
clamor	02482791.v
clamour	00905709.v
clamour	00765975.v
clamp	01331700.v
clamp	00739467.v
clamp_down	00414638.v
clang	02154337.v
clangor	02154683.v
clangor	02154337.v
clangour	02154683.v
clank	02154533.v
clap	01593876.v
clap	02075624.v
clap	00852909.v
clap	00033606.v
clap	02075497.v
clap	01226028.v
clap	01225827.v
clap_on	01352918.v
clap_together	01608976.v
clap_up	01608976.v
clapboard	01325502.v
clapperclaw	01294952.v
clapperclaw	00836339.v
claret	01160560.v
clarify	00930360.v
clarify	00499997.v
clarion	01718748.v
clarion	00968346.v
clash	01548117.v
clash	02642156.v
clash	00796720.v
clasp	01205202.v
clasp	01535550.v
clasp	01535264.v
clasp	01211009.v
class	00646598.v
classicise	00521309.v
classicize	00521309.v
classify	00646598.v
classify	02484634.v
classify	00731316.v
clatter	02152349.v
claver	01028178.v
claw	01896377.v
claw	01202184.v
claw	01295040.v
claw	00836805.v
claxon	02163230.v
claxon	01042936.v
clean	01519718.v
clean	00174928.v
clean	01520571.v
clean	00035249.v
clean	02717608.v
clean	01595237.v
clean	01594992.v
clean	01519563.v
clean	00178145.v
clean	00175075.v
clean_house	01520571.v
clean_out	00444019.v
clean_out	02380006.v
clean_out	02292789.v
clean_up	00272472.v
clean_up	02257771.v
clean_up	02233562.v
clean_up	00040265.v
cleanse	00035249.v
cleanse	00496742.v
clear	00178972.v
clear	00192638.v
clear	02745640.v
clear	00794817.v
clear	00192363.v
clear	02499168.v
clear	02267589.v
clear	02137029.v
clear	02062615.v
clear	00613474.v
clear	02398845.v
clear	02328063.v
clear	02270003.v
clear	02269713.v
clear	02267750.v
clear	02187969.v
clear	02035171.v
clear	00894749.v
clear	00752906.v
clear	00543806.v
clear	00446028.v
clear	00445856.v
clear	00445730.v
clear	00175543.v
clear-cut	00192112.v
clear_away	00178867.v
clear_off	00178867.v
clear_out	01838937.v
clear_out	00570797.v
clear_out	00444019.v
clear_the_air	01984943.v
clear_the_throat	00034580.v
clear_up	00930360.v
clear_up	00479781.v
clear_up	00175543.v
clear_up	02745640.v
clear_up	00613474.v
cleat	02330018.v
cleat	01293007.v
cleave	01543546.v
cleave	01545655.v
cleave	01209565.v
clench	01559728.v
clench	01382605.v
clerk	02388162.v
clew	01510560.v
click	01876098.v
click	02165737.v
click	02165934.v
click	01230637.v
click	01044587.v
click	01044290.v
click	00584564.v
click_off	00486433.v
click_open	01334440.v
climax	00480498.v
climb	01904044.v
climb	01905993.v
climb	00428739.v
climb	02019685.v
climb	00245668.v
climb	00152403.v
climb_down	01960259.v
climb_on	01905501.v
climb_up	01904044.v
climb_up	00152807.v
clinch	01332993.v
clinch	01559893.v
clinch	01559728.v
clinch	01412635.v
clinch	01332838.v
clinch	00755165.v
cling	01209565.v
cling	01759061.v
cling	01205011.v
cling_to	01208983.v
clink	02166763.v
clink	02166579.v
clinker	00521561.v
clinker	00521415.v
clip	01443756.v
clip	01883611.v
clip	01355514.v
clip	01309254.v
clip	00289391.v
clitter	02152518.v
cloak	02127868.v
clobber	01405214.v
clobber	01400728.v
clock	00485850.v
clock_in	00956800.v
clock_off	00957110.v
clock_on	00956800.v
clock_out	00957110.v
clock_up	00992536.v
clog	01465744.v
clog	01694776.v
clog	01289635.v
clog	00436393.v
clog	00364356.v
clog	00179345.v
clog_up	01465744.v
cloister	02699799.v
cloister	00490518.v
clomp	01912117.v
clone	01679847.v
clop	02165038.v
close	02402800.v
close	00755283.v
close	01333199.v
close	01465564.v
close	02402318.v
close	02036063.v
close	02585522.v
close	01334870.v
close	02036222.v
close	01280356.v
close	01593574.v
close	02352696.v
close	02729588.v
close	02120932.v
close	02085601.v
close	01411053.v
close	00348166.v
close_down	02402800.v
close_in	02036384.v
close_in	01573739.v
close_off	02654730.v
close_off	02013574.v
close_off	01464553.v
close_out	02604042.v
close_out	02330161.v
close_out	00347748.v
close_up	02402800.v
close_up	01463642.v
close_up	01280356.v
close_up	01030525.v
closet	01291122.v
closure	00521700.v
clot	00453069.v
clot	00453347.v
clot	00452841.v
clot	00364356.v
clothe	00047400.v
clothe	02363441.v
cloture	00521700.v
cloud	02745188.v
cloud	02137916.v
cloud	02023273.v
cloud	01752806.v
cloud	01525088.v
cloud	00505082.v
cloud	00387571.v
cloud_over	02745491.v
cloud_over	00357413.v
cloud_up	02745491.v
clout	01400575.v
clown	00104668.v
clown_around	00104668.v
cloy	02310986.v
cloy	01182709.v
club	02567671.v
club	02567532.v
club	01411697.v
cluck	01044290.v
clue	01510560.v
clue_in	00918364.v
clump	02165038.v
clump	02006757.v
clump	01912117.v
clump	01471515.v
clunk	02165038.v
cluster	02006757.v
cluster	01471515.v
clutch	01201252.v
clutch	01208983.v
clutch	00729310.v
clutter	00179183.v
clutter_up	00179183.v
co-author	01689476.v
co-educate	02364570.v
co-occur	02635124.v
co-occur_with	02635493.v
co-opt	02377726.v
co-opt	02511851.v
co-opt	02373941.v
co-opt	02340028.v
co-sign	02441285.v
co-sign	00988165.v
co-star	02606153.v
co-star	01706198.v
co-vary	02637321.v
coach	00824872.v
coach	01913346.v
coact	02393440.v
coagulate	00453069.v
coagulate	00453347.v
coal	02746468.v
coal	02330327.v
coal	01586441.v
coalesce	00390536.v
coalesce	01448428.v
coapt	01586649.v
coapt	01586556.v
coarsen	01241872.v
coarsen	00134047.v
coast	01869125.v
coat	01252723.v
coat	00050745.v
coat	01250725.v
coax	00760127.v
cobble	01255876.v
cobble	00258535.v
cobble_together	01612211.v
cobble_up	01612211.v
cocainise	00021612.v
cocainize	00021612.v
cock	01867265.v
cock	01235848.v
cock	01898714.v
cock_up	01964689.v
cocker	02545885.v
cockle	02021750.v
cockle	01267225.v
coconspire	00699063.v
cocoon	02074005.v
cocoon	01568646.v
cod	00845926.v
cod	00841541.v
coddle	02545885.v
coddle	00316833.v
code	01576202.v
code	00984166.v
codify	00476685.v
coeducate	02364570.v
coerce	02480419.v
coexist	02579602.v
coexist	02579461.v
coffin	01487044.v
cog	01379253.v
cog	01282333.v
coggle	01900883.v
coggle	01851414.v
cogitate	00695396.v
cogitate	00621052.v
cognise	00587430.v
cognize	00587430.v
cohabit	02625783.v
cohere	01209565.v
cohere	02728954.v
cohere	02728738.v
coif	01322737.v
coif	00038340.v
coiffe	00038340.v
coiffure	00038340.v
coil	02030885.v
coil	01648597.v
coil	01511145.v
coin	01682849.v
coin	01624411.v
coincide	02635124.v
coincide	00341344.v
coincide	02633411.v
coinsure	02230557.v
coke	00493718.v
cold-cream	01352558.v
cold-shoulder	00609619.v
cold_work	01654087.v
coldcock	01400162.v
coldwork	01654087.v
collaborate	02392620.v
collaborate	02393093.v
collapse	01970728.v
collapse	00030580.v
collapse	02064934.v
collapse	02023573.v
collapse	01971237.v
collapse	01768575.v
collapse	00221385.v
collar	01203817.v
collar	01204531.v
collar	01204374.v
collate	00653669.v
collate	01373552.v
collateralize	00877150.v
collect	02283208.v
collect	02197598.v
collect	01368449.v
collect	01372232.v
collect	02283812.v
collectivise	02410142.v
collectivize	02410142.v
collide	01548117.v
collide	02642156.v
collide	01549500.v
collide_with	01224611.v
colligate	00705069.v
colligate	00677127.v
collimate	00519947.v
collimate	00460532.v
collocate	02587504.v
collocate	00648990.v
collocate_with	02635493.v
collogue	00867686.v
collude	00699365.v
colly	01521276.v
colonise	02565761.v
colonise	00409844.v
colonize	02565761.v
colonize	00409844.v
color	00280507.v
color	00828096.v
color	02512827.v
color	01681511.v
color	00828303.v
color	00277697.v
color_in	00280507.v
colorcast	00960078.v
colorise	00280507.v
colorize	00280507.v
colour	02512827.v
colour	01681511.v
colour	00828303.v
colour	00828096.v
colour	00280507.v
colour	00277697.v
colour_in	00280507.v
colourise	00280507.v
colourize	00280507.v
comb	01583128.v
comb	01307579.v
comb	00037856.v
comb_out	02202923.v
comb_out	00037856.v
combat	01081652.v
combine	00190507.v
combine	02605779.v
combine	01448604.v
combine	02287234.v
combine	02355015.v
combine	01372963.v
combine	00390536.v
combust	02736939.v
combust	02734941.v
combust	01778257.v
combust	01769288.v
combust	00372844.v
come	01831864.v
come	01987643.v
come	00337964.v
come	00536727.v
come	02599990.v
come	00338859.v
come	02719569.v
come	02718862.v
come	02661019.v
come	02719213.v
come	02712861.v
come	01822475.v
come	02705637.v
come	00340915.v
come	02619800.v
come	02602015.v
come	01988404.v
come	00715055.v
come	02592479.v
come	02177417.v
come	00651940.v
come_about	00336141.v
come_across	02265142.v
come_across	02116368.v
come_across	02004855.v
come_across	01052971.v
come_across	00584846.v
come_after	02696027.v
come_after	02383018.v
come_alive	00018546.v
come_along	00420771.v
come_along	00245310.v
come_apart	00330513.v
come_around	00646419.v
come_around	00340071.v
come_away	01288163.v
come_away	01992328.v
come_back	01986635.v
come_back	00542742.v
come_back	00949812.v
come_back	01980621.v
come_back	00807637.v
come_before	02384200.v
come_by	02464762.v
come_by	02185586.v
come_close	02351220.v
come_close	02640520.v
come_down	01952509.v
come_down	00234644.v
come_down	02731140.v
come_down	00086616.v
come_down	00818627.v
come_forth	00523638.v
come_forth	02599685.v
come_forward	02070499.v
come_home	00584564.v
come_in	01998301.v
come_in	01988404.v
come_in	02641877.v
come_in	00905437.v
come_in	00651732.v
come_in_for	02704934.v
come_in_handy	02701133.v
come_into	02293530.v
come_into_being	00357233.v
come_near	02571792.v
come_near	02035622.v
come_near	01832389.v
come_of_age	02516209.v
come_off	01288163.v
come_off	00339927.v
come_off	01248095.v
come_on	00419402.v
come_on	02035622.v
come_on	00245310.v
come_on	01513761.v
come_on	00344132.v
come_out	00419402.v
come_out	00523638.v
come_out	00421667.v
come_out	02585739.v
come_out	02079198.v
come_out	00651732.v
come_out	02070499.v
come_out	02063383.v
come_out	00925958.v
come_out	00925643.v
come_out	00542855.v
come_out_of_the_closet	00925958.v
come_over	01052971.v
come_round	00646419.v
come_short	01782334.v
come_through	00422449.v
come_through	02003678.v
come_through	02594822.v
come_through	02499988.v
come_to	02089273.v
come_to	02650259.v
come_to	02502628.v
come_to	00023980.v
come_to_grips	02413509.v
come_to_hand	00419130.v
come_to_life	00357233.v
come_to_life	02640226.v
come_to_light	00419130.v
come_to_mind	00601738.v
come_to_the_fore	02070499.v
come_together	02036222.v
come_up	01613297.v
come_up	00335945.v
come_up	01831864.v
come_up	01971956.v
come_up	02600437.v
come_up	01950480.v
come_up	02697513.v
come_up	01513761.v
come_up	02192761.v
come_up	01952031.v
come_up	01372545.v
come_up	01369342.v
come_up_to	00980893.v
come_upon	02265142.v
come_upon	02192071.v
come_with	02692092.v
comfit	01612031.v
comfort	01797689.v
comfort	00081488.v
command	00743431.v
command	00743102.v
command	01008095.v
command	02670097.v
command	02417363.v
commandeer	01458984.v
commemorate	00604998.v
commemorate	00603867.v
commemorate	00604428.v
commence	00341793.v
commence	00344775.v
commence	01635845.v
commend	00873088.v
commend	01674067.v
commend	00873806.v
commend	00873642.v
commend	00873216.v
comment	01048016.v
comment	01022856.v
comment	00951617.v
commentate	00951874.v
commentate	00929538.v
commercialise	00465457.v
commercialize	01153601.v
commercialize	00465457.v
comminate	00855890.v
commingle	01450082.v
commingle	00390536.v
comminute	00327554.v
commiserate	01805104.v
commission	02451522.v
commission	02456924.v
commission	02451382.v
commit	02557856.v
commit	00878156.v
commit	02326191.v
commit	02326835.v
commit	02249766.v
commit_suicide	01313252.v
commix	01449281.v
commove	01745770.v
commove	01407271.v
communalise	02274406.v
communalize	02274406.v
commune	00751636.v
commune	00751851.v
communicate	00733845.v
communicate	00732231.v
communicate	02210942.v
communicate	01343280.v
communicate	01059525.v
communicate	01020345.v
communicate	00751851.v
communise	00405005.v
communise	00404576.v
communize	00405005.v
communize	00404576.v
commutate	00136971.v
commute	00547960.v
commute	02043498.v
commute	00376266.v
commute	00159201.v
commute	00158439.v
compact	01471150.v
compact	01470902.v
compact	01377122.v
compact	01375579.v
companion	02692513.v
company	02692513.v
compare	00644904.v
compare	02705306.v
compare	00645624.v
compare	00973052.v
comparison-shop	02304465.v
compart	01461608.v
compartmentalise	00478708.v
compartmentalize	00478708.v
compass	02502902.v
compass	01893606.v
compass	00581092.v
compassionate	01804852.v
compel	02482403.v
compel	00743102.v
compensate	02646834.v
compensate	02229551.v
compensate	02647153.v
compensate	02495863.v
compensate	02232382.v
compensate	02228667.v
compere	02567818.v
compete	01061556.v
compile	02283208.v
compile	01611749.v
compile	01612716.v
complain	00897850.v
complain	00835338.v
complect	02597656.v
complement	00450990.v
complete	00479055.v
complete	00450821.v
complete	02539411.v
complete	01106719.v
complete	01010649.v
complexify	00397097.v
complexify	00396926.v
complexion	00284368.v
complicate	00398263.v
complicate	00396607.v
compliment	00872354.v
compliment	00872594.v
complot	00698734.v
comply	02518044.v
comport	02495538.v
comport	02494017.v
compose	02596124.v
compose	01690339.v
compose	01683134.v
compose	01611749.v
compose	01748420.v
compose	00698563.v
compost	00521898.v
compound	00224090.v
compound	00190507.v
compound	02244635.v
compound	01642844.v
compound	01448604.v
comprehend	00581092.v
comprehend	02087134.v
comprehend	02604445.v
compress	01377122.v
compress	01375579.v
comprise	02607974.v
comprise	02604187.v
comprise	02595485.v
compromise	01025474.v
compromise	01025051.v
compromise	01026104.v
compute	00629839.v
computerise	02315125.v
computerise	02198184.v
computerise	01703735.v
computerize	02315125.v
computerize	02198184.v
computerize	01703735.v
con	02547476.v
con	00596962.v
concatenate	01452330.v
concatenate	00187201.v
conceal	02125100.v
conceal	02127055.v
concede	00809812.v
concede	00797541.v
concede	02294666.v
concede	01106844.v
conceive	01618863.v
conceive	00681247.v
conceive	00053519.v
conceive_of	01621899.v
concenter	00723462.v
concentrate	00234455.v
concentrate	00713938.v
concentrate	00400960.v
concentrate	00241427.v
concentrate	02014682.v
concentrate	00361166.v
concentrate	00234203.v
concentrate	00233943.v
concentrate_on	02650701.v
concentre	00723462.v
conceptualise	01618863.v
conceptualize	01618863.v
concern	02650259.v
concern	02652643.v
concert	01624309.v
concert	00753052.v
concertina	02065131.v
concertise	01701270.v
concertize	01701270.v
conciliate	01748634.v
conciliate	00756354.v
conciliate	00477839.v
conclude	00627033.v
conclude	00706976.v
conclude	01011338.v
conclude	02585522.v
conclude	01061185.v
concoct	01447172.v
concoct	01651148.v
concoct	01620558.v
concoct	01619644.v
concord	02674073.v
concord	01633722.v
concord	01452768.v
concord	00796868.v
concrete	01586813.v
concrete	00370505.v
concretise	00546595.v
concretize	00707671.v
concretize	00546595.v
concur	00796868.v
concur	00341344.v
concuss	01872907.v
concuss	00069855.v
condemn	00855139.v
condemn	00847600.v
condemn	02482960.v
condemn	02129576.v
condemn	00897438.v
condense	00360846.v
condense	00241427.v
condense	00362525.v
condense	00362253.v
condense	00361625.v
condense	00361424.v
condense	00361166.v
condescend	02566876.v
condescend	02566733.v
condescend	02493683.v
condescend	00899680.v
condition	02547125.v
condition	02529407.v
condition	01008846.v
condition	00204416.v
condition	00041186.v
condole	01805392.v
condole_with	01804852.v
condone	00883861.v
conduce	02531594.v
conduct	02421850.v
conduct	01717675.v
conduct	02494017.v
conduct	02061379.v
conduct	01981555.v
conduct	01717967.v
cone	01571034.v
confab	01028178.v
confab	00867357.v
confabulate	01620389.v
confabulate	01028178.v
confabulate	00867357.v
confect	01735438.v
confect	01612031.v
confection	01612031.v
confederate	02446806.v
confederate	02410916.v
confer	00867357.v
confer	02242157.v
confer_with	00868251.v
confess	00810773.v
confess	00809812.v
confess	00810070.v
confide	00926967.v
confide	02326835.v
configure	01642657.v
confine	00232312.v
confine	00230278.v
confine	01335190.v
confine	02687205.v
confine	02470962.v
confine	01289815.v
confirm	00657823.v
confirm	01001991.v
confirm	00218839.v
confirm	02452639.v
confirm	02450724.v
confiscate	02251921.v
conflagrate	02735691.v
conflagrate	02734941.v
conflate	00390536.v
conflict	02641686.v
conflict	02542764.v
conform	02637653.v
conform	00147724.v
conform_to	02642358.v
conform_to	02643414.v
conform_to	00148213.v
confound	00614150.v
confound	00611816.v
confront	01068077.v
confront	00803613.v
confront	01055875.v
confront	02718286.v
confuse	00611816.v
confuse	00614150.v
confuse	01773590.v
confuse	01642270.v
confuse	00613168.v
confuse	00612897.v
confute	00659361.v
conga	01879100.v
conge	00889612.v
congeal	00438037.v
congee	01990752.v
congee	00889612.v
congest	01465744.v
conglobate	00142280.v
conglobe	00142280.v
conglomerate	00156018.v
conglutinate	01586649.v
conglutinate	01210222.v
congratulate	00872354.v
congratulate	00872691.v
congratulate	01755494.v
congratulate	00874541.v
congregate	02005348.v
conjecture	00626004.v
conjoin	01279484.v
conjoin	02464955.v
conjugate	00392237.v
conjugate	00973396.v
conjugate	00568787.v
conjure	01615477.v
conjure	00751174.v
conjure	00698734.v
conjure_up	01615477.v
conk	01844920.v
conk	01389163.v
conk	00354455.v
conk	00023579.v
conk_out	00429881.v
conk_out	00098522.v
conn	01915074.v
connect	01342435.v
connect	00705069.v
connect	02597114.v
connect	01058814.v
connect	01226190.v
connect	01058613.v
